# Created by auto-kappa
# 3ph scattering  : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.self_isotope
# Temperature [K] : 50.00 to 1000.00
# Grain size [nm] : 3.16 to 100000.00
temperature[K],grain_size[nm],kave[W/mK],kxx[W/mK],kxy[W/mK],kxz[W/mK],kyx[W/mK],kyy[W/mK],kyz[W/mK],kzx[W/mK],kzy[W/mK],kzz[W/mK]
1.0000000e+02,7.5431201e+01,5.5258195e+00,5.5257571e+00,-1.0420904e-03,-8.0018775e-04,-1.0420904e-03,5.5256999e+00,-7.8737130e-04,-8.0018775e-04,-7.8737130e-04,5.5260016e+00
1.0000000e+02,9.3193958e+01,5.9442995e+00,5.9442331e+00,-1.1028771e-03,-8.5231395e-04,-1.1028771e-03,5.9441783e+00,-8.3568497e-04,-8.5231395e-04,-8.3568497e-04,5.9444869e+00
1.0000000e+02,1.1513954e+02,6.3522971e+00,6.3522272e+00,-1.1595562e-03,-9.0136091e-04,-1.1595562e-03,6.3521746e+00,-8.8120331e-04,-9.0136091e-04,-8.8120331e-04,6.3524894e+00
1.0000000e+02,1.4225293e+02,6.7469800e+00,6.7469070e+00,-1.2116288e-03,-9.4678745e-04,-1.2116288e-03,6.7468565e+00,-9.2343342e-04,-9.4678745e-04,-9.2343342e-04,6.7471766e+00
1.0000000e+02,1.7575106e+02,7.1264853e+00,7.1264095e+00,-1.2587811e-03,-9.8821481e-04,-1.2587811e-03,7.1263608e+00,-9.6201836e-04,-9.8821481e-04,-9.6201836e-04,7.1266856e+00
1.0000000e+02,2.1713743e+02,7.4898788e+00,7.4898006e+00,-1.3008889e-03,-1.0254384e-03,-1.3008889e-03,7.4897535e+00,-9.9675396e-04,-1.0254384e-03,-9.9675396e-04,7.4900823e+00
1.0000000e+02,2.6826958e+02,7.8370276e+00,7.8369473e+00,-1.3380042e-03,-1.0584216e-03,-1.3380042e-03,7.8369016e+00,-1.0275885e-03,-1.0584216e-03,-1.0275885e-03,7.8372339e+00
1.0000000e+02,3.3144247e+02,8.1684052e+00,8.1683232e+00,-1.3703276e-03,-1.0872749e-03,-1.3703276e-03,8.1682786e+00,-1.0546070e-03,-1.0872749e-03,-1.0546070e-03,8.1686138e+00
1.0000000e+02,4.0949151e+02,8.4848553e+00,8.4847717e+00,-1.3981731e-03,-1.1122243e-03,-1.3981731e-03,8.4847282e+00,-1.0780044e-03,-1.1122243e-03,-1.0780044e-03,8.4850658e+00
1.0000000e+02,5.0591975e+02,8.7873443e+00,8.7872596e+00,-1.4219301e-03,-1.1335771e-03,-1.4219301e-03,8.7872169e+00,-1.0980548e-03,-1.1335771e-03,-1.0980548e-03,8.7875566e+00
1.0000000e+02,6.2505519e+02,9.0767315e+00,9.0766457e+00,-1.4420276e-03,-1.1516876e-03,-1.4420276e-03,9.0766038e+00,-1.1150795e-03,-1.1516876e-03,-1.1150795e-03,9.0769451e+00
1.0000000e+02,7.7224499e+02,9.3535821e+00,9.3534955e+00,-1.4589052e-03,-1.1669291e-03,-1.4589052e-03,9.3534541e+00,-1.1294207e-03,-1.1669291e-03,-1.1294207e-03,9.3537969e+00
1.0000000e+02,9.5409548e+02,9.6180485e+00,9.6179611e+00,-1.4729900e-03,-1.1796711e-03,-1.4729900e-03,9.6179202e+00,-1.1414193e-03,-1.1796711e-03,-1.1414193e-03,9.6182641e+00
1.0000000e+02,1.1787686e+03,9.8698325e+00,9.8697445e+00,-1.4846819e-03,-1.1902635e-03,-1.4846819e-03,9.8697040e+00,-1.1514004e-03,-1.1902635e-03,-1.1514004e-03,9.8700489e+00
1.0000000e+02,1.4563485e+03,1.0108234e+01,1.0108146e+01,-1.4943442e-03,-1.1990275e-03,-1.4943442e-03,1.0108106e+01,-1.1596631e-03,-1.1990275e-03,-1.1596631e-03,1.0108451e+01
1.0000000e+02,1.7992936e+03,1.0332275e+01,1.0332187e+01,-1.5022995e-03,-1.2062501e-03,-1.5022995e-03,1.0332147e+01,-1.1664756e-03,-1.2062501e-03,-1.1664756e-03,1.0332493e+01
1.0000000e+02,2.2229965e+03,1.0540873e+01,1.0540784e+01,-1.5088291e-03,-1.2121830e-03,-1.5088291e-03,1.0540744e+01,-1.1720737e-03,-1.2121830e-03,-1.1720737e-03,1.0541091e+01
1.0000000e+02,2.7464741e+03,1.0733028e+01,1.0732939e+01,-1.5141748e-03,-1.2170433e-03,-1.5141748e-03,1.0732899e+01,-1.1766611e-03,-1.2170433e-03,-1.1766611e-03,1.0733246e+01
1.0000000e+02,3.3932218e+03,1.0907998e+01,1.0907908e+01,-1.5185420e-03,-1.2210161e-03,-1.5185420e-03,1.0907869e+01,-1.1804117e-03,-1.2210161e-03,-1.1804117e-03,1.0908216e+01
1.0000000e+02,4.1922674e+03,1.1065417e+01,1.1065327e+01,-1.5221038e-03,-1.2242575e-03,-1.5221038e-03,1.1065288e+01,-1.1834725e-03,-1.2242575e-03,-1.1834725e-03,1.1065635e+01
1.0000000e+02,5.1794747e+03,1.1205355e+01,1.1205265e+01,-1.5250045e-03,-1.2268982e-03,-1.5250045e-03,1.1205226e+01,-1.1859665e-03,-1.2268982e-03,-1.1859665e-03,1.1205574e+01
